"ID","INITIATIVE_ID","ORG_ID","CONTACT_ID"
515,2,216,101306823
2,2,181,41716823
517,2,736,101316823
519,2,7492,101366823
520,2,7492,101376823
521,2,6111,101386823
522,2,4392,101396823
1226,2,5243,4652
523,2,1088,101406823
10,2,561,83496823
525,2,1284,1152
526,2,1284,101426823
1227,2,5243,120466823
535,2,6965,6151
536,2,6965,95346823
537,2,6809,101516823
543,2,6185,101576823
544,2,6185,101556823
545,2,6185,101566823
546,2,6185,101586823
547,2,6156,101596823
548,2,6019,20436823
550,2,6610,248
24,2,2183,39776823
1228,2,5243,4653
552,2,1090,32326823
553,2,3710,52206823
558,2,5469,4867
562,2,780,3836823
563,2,780,656
31,2,2603,2241
564,2,36,27
566,2,552,53676823
567,2,552,75216823
568,2,2,37326823
570,2,7594,6793
571,2,1558,1359
572,2,1558,101616823
573,2,1558,101626823
574,2,2684,101636823
41,2,3411,3117
578,2,3581,101666823
579,2,3668,101676823
581,2,3819,50666823
582,2,4420,101696823
46,2,4366,3990
583,2,4914,101706823
587,2,5599,101746823
588,2,628,62126823
596,2,3435,91946823
597,2,3435,102756823
598,2,3435,3138
1235,2,10014,153006823
607,2,3532,4236823
608,1,5145,4535
633,2,292,17116823
634,2,292,15896823
618,2,3435,104746823
619,2,6111,104756823
60,2,5636,5016
61,2,5636,5017
620,2,4431,49996823
1236,2,10014,153016823
624,2,4914,104786823
625,2,5784,104916823
626,2,6620,104926823
627,2,6620,104936823
629,2,6155,104966823
631,2,6111,104986823
632,2,5522,104956823
636,2,4784,46956823
637,2,4784,4278
638,2,4495,4045
640,2,2684,2327
76,2,6693,95356823
1121,8,9345,135926823
645,2,6793,106196823
648,2,3782,3446
649,2,3782,3445
650,2,775,651
651,2,775,40416823
652,2,775,40406823
656,2,3411,108716823
657,2,1186,108726823
659,2,8244,107946823
661,2,4339,4736823
667,2,4339,4746823
669,2,4245,109716823
674,1,3566,93376823
114,2,6076,51796823
675,1,3566,3261
676,1,4579,30606823
678,1,5875,5127
679,1,7822,97426823
1123,2,574,74256823
687,1,6809,109896823
691,1,5875,109936823
697,1,2829,109996823
698,1,2829,110006823
699,1,2271,110016823
700,1,2193,110036823
133,2,4611,39496823
701,1,2193,110046823
702,1,2193,110026823
707,1,5145,110106823
750,2,2885,2512
1092,1,901,126016823
713,1,8326,110246823
815,4,6470,33406823
817,4,7591,23816823
845,4,5171,36116823
846,4,5841,5102
718,1,8328,110316823
146,2,5350,52496823
719,1,8328,110306823
720,1,8328,110296823
1093,1,1699,45656823
722,1,8330,110346823
723,1,3532,4226823
153,2,5900,5148
733,1,2088,1788
736,1,6286,110496823
737,1,6620,84756823
739,2,3788,110576823
742,2,3681,15146823
743,2,454,7146823
744,2,454,7156823
167,2,2134,79986823
746,2,4971,11396823
747,2,4494,4043
748,2,4494,90606823
751,2,2885,2511
754,2,734,7186823
755,2,6215,7066823
757,2,8444,113016823
758,2,423,23876823
182,2,27,84066823
183,2,52,66
186,2,204,10706823
187,2,216,13536823
188,2,219,224
189,2,219,67036823
190,2,284,281
191,2,284,99926823
192,2,286,49796823
193,2,311,14656823
194,2,313,23906823
195,2,315,307
196,2,332,48136823
197,2,332,48296823
198,2,333,322
199,2,376,347
200,2,380,352
201,2,482,439
202,2,543,54706823
760,2,5039,4472
204,2,561,30566823
205,2,561,78516823
206,2,563,42116823
207,2,563,4356823
208,2,594,537
209,2,594,72046823
212,2,618,38996823
213,2,720,616
214,2,736,76706823
215,2,739,626
216,2,739,99406823
217,2,763,636
219,2,794,672
220,2,822,703
221,2,822,70046823
223,2,869,37346823
224,2,869,34016823
225,2,901,803
226,2,901,796
227,2,911,63546823
228,2,947,36606823
229,2,1070,45856823
230,2,1088,968
231,2,1088,969
232,2,1186,1072
233,2,1186,68626823
234,2,1186,68616823
235,2,1186,99916823
236,2,1284,1154
237,2,1345,62886823
238,2,1373,22416823
239,2,1423,1263
240,2,1423,1264
241,2,1440,2426823
242,2,1548,46016823
243,2,1548,76376823
244,2,1548,100086823
245,2,1552,57346823
246,2,1609,41926823
247,2,1621,5026823
248,2,1621,77416823
249,2,1701,1467
250,2,1789,35706823
251,2,1805,1560
252,2,1877,44186823
253,2,1892,18366823
254,2,1925,1652
255,2,1925,1653
256,2,2016,53146823
257,2,2083,45916823
258,2,2083,45926823
259,2,2083,79956823
261,2,2103,1805
262,2,2116,40656823
263,2,2134,52766823
264,2,2166,1859
265,2,2173,1870
267,2,2239,34086823
269,2,2239,34096823
270,2,2262,38856823
271,2,2262,100106823
272,2,2271,40716823
273,2,2272,1943
276,2,2305,1970
278,2,2349,2023
279,2,2349,35876823
280,2,2349,80086823
281,2,2387,2055
282,2,2480,38986823
283,2,2510,2157
284,2,2522,2175
761,2,2642,113266823
286,2,2594,2227
287,2,2594,2226
289,2,2600,2237
291,2,2603,2240
292,2,2603,2242
293,2,2682,2325
294,2,2684,2328
295,2,2796,2434
296,2,2941,2563
297,2,2941,11756823
298,2,2941,11746823
299,2,3083,2681
300,2,3202,36626823
301,2,3211,74396823
303,2,3239,77456823
304,2,3239,2960
306,2,3301,3025
307,2,3301,3026
308,2,3383,3097
309,2,3402,3111
311,2,3580,47786823
1124,2,7580,137996823
313,2,3606,26006823
314,2,3668,39086823
315,2,3688,13706823
316,2,3704,46836823
317,2,3788,3455
318,2,3794,53406823
319,2,3819,3491
320,2,3832,36506823
322,2,3916,46886823
323,2,3931,3570
324,2,3953,75796823
325,2,4108,51606823
326,2,4179,52196823
327,2,4202,3864
329,2,4245,3906
330,2,4328,3946
331,2,4329,14846823
332,2,4366,3991
334,2,4392,64046823
335,2,4420,4014
772,1,7144,75976823
338,2,4475,3826823
340,2,4515,4060
341,2,4526,34856823
342,2,4563,64666823
343,2,4582,4123
344,2,4582,54616823
345,2,4592,55796823
347,2,4611,39506823
476,2,67,80
479,2,59,75
101,2,947,36596823
480,2,2294,100496823
103,2,975,16696823
104,2,6542,87066823
774,2,7940,100146823
482,2,2295,1963
107,2,1070,45846823
483,2,3253,24906823
484,2,3300,3024
775,2,2502,66606823
487,2,3446,3296823
116,2,313,23896823
117,2,6521,11246823
118,2,6961,6104
489,2,4822,83486823
490,2,4822,38216823
160,2,1552,55336823
495,2,5435,63076823
496,2,5957,6706823
497,2,6064,48716823
498,2,6064,5329
502,2,6204,100706823
505,2,6757,5913
506,2,6757,5914
511,2,7191,5289
512,2,7191,5290
513,2,7191,5287
518,2,4822,38416823
621,2,7492,104766823
1119,2,9107,133856823
670,2,4245,109726823
1109,4,2494,131056823
776,2,2502,2147
790,2,778,55976823
778,4,3047,2645
803,4,780,117196823
781,4,5622,75166823
782,4,6028,115866823
804,4,4245,110736823
784,4,24,13
785,4,5214,85566823
786,4,1090,970
788,4,4836,25706823
791,1,8600,110266823
792,1,8600,110286823
1087,2,6058,124726823
794,1,8600,116656823
796,2,6270,116686823
1105,2,2609,130206823
799,4,5924,55176823
805,4,4255,31006823
809,4,8253,108166823
811,4,8056,103546823
812,4,1684,117236823
813,4,8203,107116823
814,4,543,54706823
818,4,1070,117256823
822,4,3919,3557
823,4,6985,117266823
826,4,6481,40996823
827,4,8423,112546823
829,4,8108,104826823
832,4,3069,21106823
833,4,7817,117286823
834,4,7974,100976823
838,4,5985,52156823
1041,1,2134,118716823
840,4,5889,5136
841,4,3698,3372
843,4,2502,66606823
844,4,834,31766823
850,4,2884,117296823
854,4,8001,102056823
856,4,6419,5624
858,4,5535,43516823
859,4,1707,102736823
860,4,6544,66886823
861,4,1874,1618
1028,4,1317,98876823
864,4,8536,115156823
866,4,839,117336823
867,4,3093,15356823
868,4,4582,54616823
869,4,838,719
870,4,4148,117356823
871,4,6393,64606823
873,4,3852,41836823
874,4,8344,110846823
877,4,6270,5506
879,4,7918,99436823
880,4,289,93736823
882,4,8095,104466823
883,4,2007,3366823
884,4,2083,45916823
886,4,6089,117396823
887,4,7886,115886823
896,4,157,110136823
897,4,1592,89616823
899,4,2296,69476823
900,4,8188,106786823
901,4,2503,85056823
902,4,8084,104206823
904,4,3419,15946823
905,4,3427,47696823
907,4,5779,5062
910,4,6677,5843
911,4,576,22146823
914,4,4651,4185
915,4,2730,2368
919,4,6558,64556823
922,4,7670,117436823
923,4,6680,96616823
926,4,7503,10326823
927,4,8355,111076823
928,4,7515,65516823
929,4,33,41406823
930,4,273,16396823
931,4,6445,110156823
932,4,763,117446823
933,4,901,800
935,4,3,93306823
936,4,1008,65776823
937,4,2941,11756823
938,4,8236,107776823
939,4,8040,103026823
940,4,6330,57196823
946,4,7531,115926823
947,4,7144,75976823
949,4,4580,93416823
951,4,7757,95926823
953,4,8371,111446823
956,4,6505,77716823
957,4,8310,109526823
1042,1,2827,34646823
959,4,5957,117466823
960,4,4719,117476823
962,4,5305,74006823
965,4,3476,1726823
971,4,2943,109166823
972,4,7924,99616823
973,4,7341,85796823
974,4,5130,4296823
976,4,240,117496823
977,4,1180,90486823
979,4,4953,116046823
980,4,2505,91716823
981,4,8298,109286823
983,4,4285,84796823
984,4,6542,87076823
989,4,7693,117526823
990,4,3530,2686823
991,4,4820,49276823
992,4,5175,22866823
994,4,5417,39256823
995,4,14,117546823
997,4,3566,93356823
999,4,3788,3454
1066,4,8494,114236823
1003,4,2010,14316823
1004,4,2781,53466823
1005,4,5239,50546823
1007,4,5854,11896823
1008,4,306,72246823
1009,4,505,117566823
1011,4,6563,117576823
1016,4,774,117346823
1017,4,8431,112736823
1020,4,1186,108726823
1021,4,4532,117596823
1022,4,4758,117606823
1029,2,3094,61306823
1032,4,552,53676823
1033,4,6323,117876823
1034,4,230,237
1043,4,911,99016823
1044,2,4976,76556823
1046,1,3708,38366823
1047,1,6661,73406823
1048,4,2169,1866
1050,2,2193,1896
1051,2,2488,119456823
1053,2,2799,2439
1054,4,1892,119466823
1055,4,7100,6240
1059,4,3782,120326823
1070,4,86,88
1071,4,2874,2502
1076,4,4450,29856823
1077,4,886,781
1085,1,778,55976823
1086,1,8323,124326823
1088,2,8536,115146823
1090,4,3096,64816823
1097,2,4453,57076823
1098,1,6058,5322
1102,2,4453,129016823
1103,1,8297,129476823
1107,4,6757,5913
1110,1,219,223
1112,2,2066,132206823
1113,2,5875,5127
1116,1,1186,133126823
1117,2,5482,65916823
1125,2,7580,1236823
1132,2,9122,130236823
1133,2,9122,130226823
1134,2,9122,137186823
1135,2,9009,127276823
1136,2,9009,127286823
1137,2,9291,134576823
1141,2,9435,138156823
1142,2,9435,138166823
1143,2,9436,138176823
1144,2,9436,138186823
1145,2,9457,138596823
1146,2,9457,138606823
1147,2,9455,138556823
1148,2,9455,138566823
1149,2,9449,138446823
1150,2,9449,138436823
1151,2,9438,138216823
1152,2,9438,138226823
1153,2,9450,138456823
1154,2,9450,138466823
1157,2,9437,138206823
1158,2,9437,138196823
1159,2,9434,138146823
1160,2,9434,138136823
1161,2,9447,138396823
1162,2,9447,138406823
1163,2,9442,138306823
1164,2,9442,138296823
1165,2,9456,138586823
1166,2,9456,138576823
1167,2,43,42
1168,2,43,41
1169,1,9009,127286823
1170,2,1991,31396823
1171,2,1991,31386823
1172,2,1991,51196823
1173,2,8600,116656823
1174,2,9492,139406823
1175,2,9458,138616823
1176,2,9458,138626823
1183,2,4172,3848
1185,2,8834,140956823
1186,2,8834,122786823
1187,2,8834,122796823
1188,2,2848,49176823
1189,2,2848,130356823
1190,2,2848,49186823
1191,2,7906,99156823
1192,4,5333,133806823
1197,1,8803,121966823
1200,1,9840,148106823
1205,4,4739,149046823
1206,4,9206,132376823
1211,1,8910,124676823
1212,1,8910,124686823
1220,2,9822,147676823
1223,2,5202,156346823
1225,2,5202,152886823
348,2,4613,32766823
349,2,4619,4154
350,2,4619,48276823
351,2,4620,4155
352,2,4620,4156
353,2,4664,4196
354,2,4689,4206
355,2,4739,24136823
356,2,4748,4256
357,2,4762,16676823
358,2,4796,44416823
359,2,4826,4310
360,2,4826,4309
361,2,4846,51916823
362,2,4914,25016823
364,2,5029,4465
365,2,5029,3536823
366,2,5075,4487
367,2,5075,99976823
368,2,5126,4523
369,2,5167,4555
370,2,5201,21876823
371,2,5201,96566823
372,2,5239,4637
373,2,5239,50546823
375,2,5244,53686823
376,2,5252,54196823
377,2,5254,52186823
378,2,5272,35356823
379,2,5293,53476823
380,2,5293,4699
381,2,5293,4700
382,2,5312,4713
384,2,5399,4795
385,2,5399,4793
386,2,5417,39256823
387,2,5437,4839
388,2,5498,70066823
389,2,5522,69646823
390,2,5538,46776823
391,2,5538,4925
392,2,5555,67756823
393,2,5596,52456823
394,2,5599,4976
395,2,5791,41016823
396,2,5832,20426823
397,2,5854,11896823
398,2,5900,5147
399,2,5913,5162
400,2,5951,99996823
401,2,5951,5194
402,2,5958,48896823
403,2,5958,48916823
405,2,5958,5209
406,2,6019,5294
407,2,6040,5306
408,2,6076,51806823
409,2,6099,15656823
410,2,6099,39846823
611,1,3610,39216823
413,2,6155,5426
414,2,6155,55776823
415,2,6156,5428
416,2,6171,10796823
417,2,6185,5457
418,2,6198,82246823
420,2,6305,54366823
421,2,6312,52916823
422,2,6318,51936823
423,2,6319,52476823
424,2,6343,4056823
425,2,6432,79556823
426,2,6442,66556823
427,2,6443,73436823
429,2,6443,36823
430,2,6468,35716823
431,2,6490,44356823
432,2,6521,11236823
434,2,6542,87076823
435,2,6543,5727
436,2,6546,52556823
438,2,6588,49466823
439,2,6604,52536823
440,2,6620,84756823
441,2,6629,5792
442,2,6661,73406823
443,2,6677,5843
446,2,6693,73816823
447,2,6693,5862
448,2,6693,5863
449,2,6693,5861
450,2,6701,4856823
451,2,6702,2266823
452,2,6720,52586823
453,2,6750,48336823
455,2,6763,5919
456,2,6763,5920
457,2,6794,5951
458,2,6809,4936823
459,2,6811,5967
460,2,6867,9686823
461,2,6948,9786823
463,2,6989,89626823
464,2,7145,6276
465,2,7145,6279
466,2,7172,6295
468,2,7353,54966823
614,1,7492,6682
470,2,7376,6584
471,2,7492,6682
472,2,7573,49146823
473,2,7586,50986823
474,2,7586,50976823
475,2,7604,42456823
485,2,3594,3285
488,2,4423,100556823
501,2,6314,52516823
508,2,6972,1186823
509,2,6956,6097
510,2,6956,6096
516,2,311,14646823
533,2,2510,101486823
554,2,6107,51756823
559,2,5779,5062
560,2,5784,48106823
561,2,5784,48096823
565,2,4779,4271
569,2,7429,1925
576,2,3383,3096
577,2,3402,101656823
590,2,5869,101756823
595,2,618,102016823
601,2,1993,1703
602,2,1993,103036823
603,2,1993,35376823
641,2,2239,106096823
646,2,3832,106206823
655,2,3668,108706823
666,2,1925,1651
1030,4,4729,4239
1083,2,1212,124006823
1091,4,5177,44596823
1095,2,2502,127396823
1101,2,4360,39596823
1122,1,8031,102726823
1127,8,9464,138736823
1139,2,8388,111806823
1140,2,8388,111796823
1155,2,9467,138816823
1156,2,9467,138826823
1179,1,1313,139556823
1193,4,9670,144026823
1202,4,9843,148166823
1209,4,8910,124676823
477,2,332,9176823
738,2,2294,2298
726,1,8329,110456823
727,1,1229,33136823
728,1,1229,1125
740,2,5924,5173
741,2,5924,55176823
752,2,1180,936823
771,2,3096,2699
800,4,6662,44646823
810,4,2567,69236823
830,4,1680,117226823
836,4,5312,4713
851,4,827,96716823
852,4,7874,98396823
855,4,5824,76306823
857,4,6111,117316823
872,4,171,117366823
878,4,237,117386823
889,4,538,487
890,4,7414,97206823
892,4,3602,3292
895,4,7689,94606823
908,4,6058,36036823
916,4,5435,63076823
1078,2,5192,110676823
918,4,5949,45986823
925,4,5762,10536823
934,4,2522,115636823
961,4,5607,101766823
963,4,5093,75516823
966,4,1984,68926823
967,4,4946,80676823
970,4,628,62126823
982,4,2586,117516823
985,4,2134,52766823
987,4,8422,112536823
988,4,1214,1112
1006,4,5239,4637
1010,4,7914,99316823
1106,2,2609,2250
1114,1,3621,326823
1126,2,7580,1226823
1194,2,4407,19236823
1195,2,4407,146366823
1196,1,8803,146186823
1201,4,9009,127276823
1203,1,2258,55016823
1204,1,2258,148296823
1210,4,8910,124686823
524,2,901,101416823
527,2,543,54696823
1229,2,2271,143586823
529,2,2166,1858
530,2,2319,101456823
531,2,2387,101466823
534,2,2603,101496823
538,2,6204,91976823
539,2,284,101506823
540,2,284,101526823
541,2,284,101536823
542,2,284,101546823
549,2,4729,4239
555,2,1107,990
556,2,1107,79336823
1230,2,2271,143616823
580,2,3688,101686823
584,2,5239,101716823
1233,1,6250,5500
586,2,5522,101736823
589,2,1319,89746823
593,2,7943,100226823
594,2,7943,100236823
600,2,3581,102766823
604,2,7801,96926823
605,2,7801,96916823
606,2,7801,97696823
609,1,5145,52966823
610,1,6043,85486823
612,2,2906,2530
613,2,2906,103576823
1234,1,6250,146706823
1056,4,561,83496823
1058,4,6008,5267
1060,4,8074,103956823
1061,4,6956,6096
1063,4,557,121526823
1068,4,4826,4310
1108,2,3529,3220
1128,8,9465,138746823
1177,2,9493,139426823
623,2,4914,104406823
628,2,1701,104946823
639,2,4495,105296823
642,2,2514,49886823
647,2,240,7106823
658,2,2183,1883
660,2,2085,108766823
662,2,1552,108986823
663,2,1552,108996823
664,2,1552,109006823
665,2,1552,109016823
671,1,1701,1467
684,1,7145,109866823
690,1,6111,109926823
692,1,5622,109946823
693,1,5622,109956823
694,1,8045,109976823
695,1,8045,109966823
703,1,7492,110056823
704,1,4579,110086823
705,1,4579,110076823
734,1,8045,103276823
731,1,4579,40976823
749,1,4903,4356
753,2,5406,112666823
756,2,5522,113066823
767,2,5849,3076823
768,2,5849,3086823
770,2,890,7206823
787,4,778,55976823
795,2,6270,5506
806,4,3302,68646823
816,4,7780,117246823
1084,1,6286,124316823
828,4,2193,1896
847,4,8133,105496823
848,4,63,62956823
875,4,8623,117376823
888,4,313,23906823
898,4,1716,93746823
906,4,4620,4155
909,4,6547,117416823
912,4,1100,97496823
913,4,7879,98496823
920,4,8435,112836823
924,4,6691,110986823
941,4,8004,102136823
943,4,8372,111466823
954,4,470,34786823
955,4,6901,5176823
975,4,1842,1586
993,4,5418,117536823
996,4,49,84916823
1013,4,2914,117406823
1014,4,4787,117586823
1018,4,3832,36506823
1023,4,8130,105436823
1026,4,6292,66696823
1096,1,1186,108726823
1099,1,6058,124726823
1207,2,5111,42036823
1208,2,5111,36106823
1213,2,3432,3134
1214,2,3432,152946823
635,2,5948,105186823
773,2,2881,86316823
1031,4,4020,93436823
1039,2,2001,70116823
1040,2,2001,118706823
1049,2,7166,119446823
1198,2,9372,136576823
668,2,1284,109646823
672,1,2193,1896
681,1,6286,109816823
685,1,7145,109876823
686,1,6809,109886823
688,1,6185,109906823
729,1,3610,110466823
730,1,3610,39226823
735,1,5145,110486823
745,2,5168,7026823
759,2,6336,6806823
762,2,4080,113306823
763,2,4080,113296823
764,2,4080,113326823
765,2,4080,113316823
1129,2,8074,103956823
789,4,7695,94716823
801,4,6028,23966823
802,4,2712,2351
808,4,2385,117216823
819,4,6689,49856823
821,4,380,352
824,4,2947,83536823
825,4,2906,2532
831,4,7454,117276823
835,4,428,53246823
837,4,7145,6276
842,4,7701,94806823
849,4,194,30906823
863,4,2267,10616823
865,4,1857,1603
876,4,4509,59036823
881,4,574,74256823
885,4,5201,96566823
893,4,3648,86186823
894,4,8365,111296823
903,4,3398,53606823
921,4,8233,107716823
942,4,5401,4797
945,4,4685,117456823
948,4,5167,4555
950,4,4579,40976823
952,4,2116,40656823
964,4,5616,117486823
968,4,5459,4856
969,4,2843,79976823
978,4,2820,117506823
998,4,3704,46836823
1000,4,4592,55796823
1001,4,8488,114106823
1019,4,8482,113976823
1079,1,7848,97896823
1080,1,6008,123626823
1081,2,4142,3456
1082,2,2171,17436823
1094,1,596,127166823
1130,2,8074,103976823
1131,2,8074,103966823
1180,2,1313,139556823
1181,2,1313,91856823
1182,2,1313,91846823
1035,4,143,92516823
1037,4,5951,99996823
1038,4,1558,1359
1045,2,4976,76546823
1052,2,3467,3036823
1057,4,5145,52966823
1062,4,7102,30276823
1065,4,3465,99126823
1067,4,5527,121536823
1069,2,5363,37276823
1073,4,8122,105216823
1074,2,5308,4710
1100,2,4360,3980
1104,2,9116,130086823
1111,1,3264,57266823
1115,1,3264,133116823
1118,2,8803,121966823
1120,2,9107,129866823
1199,2,1385,1226
1215,2,5716,153676823
1216,2,5716,5051
1217,2,5716,23746823
1221,1,219,67036823
1222,1,219,224
1138,2,9291,134586823
1178,1,1313,91846823
1184,2,9176,131686823
